stkcd,weight
1330,0.004864416083512101
2024,0.004864416083512101
2200,0.004864416083512101
2217,0.004864416083512101
2419,0.004864416083512101
2535,0.004864416083512101
2547,0.004864416083512101
2786,0.004864416083512101
2800,0.004864416083512101
3007,0.004864416083512101
300061,0.004864416083512101
300096,0.004864416083512101
300135,0.004864416083512101
300159,0.004864416083512101
300212,0.004864416083512101
300266,0.004864416083512101
300279,0.004864416083512101
300466,0.004864416083512101
300713,0.004864416083512101
300903,0.004864416083512101
