symbol,name,last,prev_close,pct_chg,open,high,low,volume,amount,trade_date,source
002024,002024,1.43,,-2.72,1.41,1.45,1.4,866740.0,123142810.31,2026-03-31,akshare_hist_fallback
002200,002200,7.27,,-2.28,7.47,7.53,7.22,26428.0,19390569.16,2026-03-31,akshare_hist_fallback
002217,002217,2.36,,-2.07,2.4,2.43,2.36,1287527.0,308333042.0,2026-03-31,akshare_hist_fallback
002419,002419,5.72,,-0.52,5.75,5.8,5.7,203260.0,116895887.19,2026-03-31,akshare_hist_fallback
002535,002535,3.69,,1.37,3.64,3.82,3.63,203799.0,75868265.51,2026-03-31,akshare_hist_fallback
002547,002547,3.35,,-1.76,3.41,3.45,3.35,175005.0,59464368.0,2026-03-31,akshare_hist_fallback
002786,002786,7.47,,-1.06,7.55,7.63,7.45,43011.0,32369998.0,2026-03-31,akshare_hist_fallback
002800,002800,22.91,,9.99,21.23,22.91,21.14,106074.0,238065680.0,2026-03-31,akshare_hist_fallback
003007,003007,40.63,,-2.38,41.79,42.24,40.61,16608.0,68626601.0,2026-03-31,akshare_hist_fallback
300061,300061,8.1,,-2.41,8.27,8.39,8.09,90642.0,74411508.0,2026-03-31,akshare_hist_fallback
300096,300096,7.87,,0.38,7.87,8.04,7.84,33966.0,26947203.0,2026-03-31,akshare_hist_fallback
300135,300135,3.87,,-3.01,3.98,4.01,3.87,262147.0,103039821.0,2026-03-31,akshare_hist_fallback
300159,300159,3.09,,-0.32,3.12,3.15,3.07,174123.0,54065028.0,2026-03-31,akshare_hist_fallback
300212,300212,11.43,,-5.22,11.84,12.27,11.37,396577.0,465745480.0,2026-03-31,akshare_hist_fallback
300266,300266,2.61,,-3.69,2.71,2.72,2.59,275650.0,73059137.0,2026-03-31,akshare_hist_fallback
300466,300466,8.5,,-1.62,8.64,8.75,8.46,46688.0,40212582.0,2026-03-31,akshare_hist_fallback
300903,300903,31.97,,-2.41,32.9,33.77,31.88,167555.0,545419038.0,2026-03-31,akshare_hist_fallback
000001,000001,11.08,,0.82,11.0,11.18,10.99,1164565.0,1294675716.15,2026-03-31,akshare_hist_fallback
