date,net_ret,bench_ret
2024-03-01,-0.008933272730170482,-0.018537106504224795
2024-04-01,0.002249984709528475,-0.015472314818449405
2024-05-01,-0.08108923422426122,-0.08484738909663449
2024-06-01,0.00022624817611321566,0.0082768801970443
2024-07-01,-0.024491342329791145,-0.036455764682696006
2024-08-01,0.22194018026234835,0.2301008828864353
2024-09-01,0.08954100222765782,0.07162642820563318
2024-10-01,0.03837364289995075,0.0472658493015935
2024-11-01,-0.039100827915521476,-0.042903007857002504
2024-12-01,-0.014384212551186942,-0.017024328885400297
2025-01-01,0.12048516709667981,0.0749955977664576
2025-02-01,0.011079869938049996,0.0017355969447708003
2025-03-01,-0.008537713223153071,-0.024968416079812202
2025-04-01,0.07441777359075394,0.05029739839781161
2025-05-01,0.08919745129501794,0.06321336173129652
2025-06-01,0.07930902850572602,0.05534366321951221
2025-07-01,0.10335490076547313,0.08667531670239713
2025-08-01,0.02904352122202036,0.012207474483833202
2025-09-01,0.014425568679005183,0.015336745136186701
2025-10-01,-0.004478437495518964,-0.0023418307423241002
2025-11-01,0.009122309547629938,0.0186106421911421
2025-12-01,0.08821369734827646,0.07903725974781761
